ticker,companyname,transcriptid,keydevid,headline,call_date,total_sentences,ai_sentence_count,ai_intensity,hype_period
ACN,Accenture plc,2984479.0,1857158848.0,"Accenture plc, Q1 2024 Earnings Call, Dec 19, 2023",2023-12-19,582,40,0.0687285223367697,2023 Initial GenAI Surge
ACN,Accenture plc,3066692.0,1865442218.0,"Accenture plc, Q2 2024 Earnings Call, Mar 21, 2024",2024-03-21,497,52,0.1046277665995975,2024–2025 AI Adoption Period
ACN,Accenture plc,3204769.0,1875368047.0,"Accenture plc, Q3 2024 Earnings Call, Jun 20, 2024",2024-06-20,508,49,0.0964566929133858,2024–2025 AI Adoption Period
ACN,Accenture plc,3274837.0,1885277147.0,"Accenture plc, Q4 2024 Earnings Call, Sep 26, 2024",2024-09-26,505,49,0.097029702970297,2024–2025 AI Adoption Period
ACN,Accenture plc,3348851.0,1898678864.0,"Accenture plc, Q1 2025 Earnings Call, Dec 19, 2024",2024-12-19,507,38,0.0749506903353057,2024–2025 AI Adoption Period
ACN,Accenture plc,3415888.0,1913504855.0,"Accenture plc, Q2 2025 Earnings Call, Mar 20, 2025",2025-03-20,491,57,0.1160896130346232,2024–2025 AI Adoption Period
ACN,Accenture plc,3489718.0,1935747495.0,"Accenture plc, Q3 2025 Earnings Call, Jun 20, 2025",2025-06-20,453,53,0.1169977924944812,2024–2025 AI Adoption Period
ACN,Accenture plc,3553971.0,1949628989.0,"Accenture plc, Q4 2025 Earnings Call, Sep 25, 2025",2025-09-25,488,81,0.165983606557377,2024–2025 AI Adoption Period
ACN,Accenture plc,3622961.0,1962181978.0,"Accenture plc, Q1 2026 Earnings Call, Dec 18, 2025",2025-12-18,461,64,0.1388286334056399,2024–2025 AI Adoption Period
ADBE,Adobe Inc.,2241429.0,698535005.0,"Adobe Inc., Q1 2021 Earnings Call, Mar 23, 2021",2021-03-23,475,3,0.0063157894736842,2021–2022 Pre-ChatGPT Transition
ADBE,Adobe Inc.,2323054.0,698535045.0,"Adobe Inc., Q2 2021 Earnings Call, Jun 17, 2021",2021-06-17,449,0,0.0,2021–2022 Pre-ChatGPT Transition
ADBE,Adobe Inc.,2399875.0,698534945.0,"Adobe Inc., Q3 2021 Earnings Call, Sep 21, 2021",2021-09-21,438,5,0.0114155251141552,2021–2022 Pre-ChatGPT Transition
ADBE,Adobe Inc.,2477888.0,698536199.0,"Adobe Inc., Q4 2021 Earnings Call, Dec 16, 2021",2021-12-16,935,13,0.013903743315508,2021–2022 Pre-ChatGPT Transition
ADBE,Adobe Inc.,2529052.0,1763274462.0,"Adobe Inc., Q1 2022 Earnings Call, Mar 22, 2022",2022-03-22,518,5,0.0096525096525096,2021–2022 Pre-ChatGPT Transition
ADBE,Adobe Inc.,2590683.0,1763274479.0,"Adobe Inc., Q2 2022 Earnings Call, Jun 16, 2022",2022-06-16,491,2,0.0040733197556008,2021–2022 Pre-ChatGPT Transition
ADBE,Adobe Inc.,2655421.0,1763275464.0,"Adobe Inc., Q3 2022 Earnings Call, Sep 15, 2022",2022-09-15,478,1,0.002092050209205,2021–2022 Pre-ChatGPT Transition
